P1T1	P2T1	P1T2	P2T2	Score1	Score2
78	53	66	137	4	2
78	53	137	66	4	2
78	66	53	137	3	4
78	66	137	53	3	4
78	137	53	66	1	4
78	137	66	53	4	3
47	114	99	101	4	1
47	114	101	99	1	4
47	99	114	101	2	4
47	99	101	114	0	4
47	101	114	99	4	2
47	101	99	114	4	0
53	47	78	101	4	3
53	47	101	78	4	0
53	78	47	101	4	2
53	78	101	47	4	3
53	101	47	78	4	1
53	101	78	47	3	4
137	99	66	114	1	4
137	99	114	66	0	4
137	66	99	114	4	1
137	66	114	99	4	2
137	114	99	66	3	4
137	114	66	99	3	4
54	4	127	146	4	1
54	4	146	127	4	2
54	127	4	146	4	3
54	127	146	4	4	2
54	146	4	127	2	4
54	146	127	4	4	2
146	67	9	172	4	2
146	67	172	9	4	1
146	9	67	172	4	3
146	9	172	67	2	4
146	172	67	9	4	1
146	172	9	67	4	2
54	67	4	146	2	4
54	67	146	4	4	1
54	4	67	146	4	2
54	4	146	67	4	3
54	146	67	4	4	1
54	146	4	67	3	4
127	9	146	172	1	4
127	9	172	146	3	4
127	146	9	172	4	0
127	146	172	9	4	3
127	172	9	146	4	2
127	172	146	9	2	4
54		146		5	3
54		67		5	1
4		146		1	5
54		127		5	1
9		67		3	5
172		4		2	5
78		54		5	2
66		127		5	1
137		9		5	1
114		67		5	1
101		172		5	1
53		4		5	0
47		146		5	0
78		66		4	5
137		114		4	5
101		53		4	5
99		47		5	3
66		114		5	4
53		99		4	5
66		99		5	2
53	47	78	99	2	4
53	47	99	78	3	4
78	53	47	99	4	1
78	53	99	47	2	4
53	99	47	78	2	4
99	53	47	78	3	4
101	146	170	140	2	4
101	146	140	170	3	4
170	101	146	140	4	0
170	101	140	146	4	0
101	140	146	170	1	4
140	101	146	170	4	1
154	69	28	92	4	2
154	69	92	28	4	1
28	154	69	92	4	3
28	154	92	69	3	4
154	92	69	28	4	1
92	154	69	28	1	4
99		47		3	5
78		170		2	5
99		78		3	5
47		170		3	5
170		99		4	5
78		47		5	3
101		154		5	0
53		140		5	4
101		53		5	4
154		140		5	4
140		101		5	1
53		154		5	1
146		69		5	1
28		92		5	4
146		28		5	2
69		92		5	4
92		146		1	5
28		69		4	5
154		92		5	4
28		140		4	5
146		53		5	4
69		28		5	3
154		146		5	3
140		92		5	2
101		99		5	3
170		78		2	5
53		154		5	1
140		146		5	4
28		92		5	4
146		69		5	3
149	147	159	51	3	0
67	51	147	149	0	3
149	147	159	67	3	0
67	159	51	149	3	0
147	51	159	67	3	0
51	149	147	159	0	3
147	67	51	149	3	1
149	159	67	147	2	3
51	67	149	159	1	3
159	147	67	51	3	0
159	149	147	51	1	3
51	147	149	67	0	3
67	149	147	159	3	2
159	51	149	67	1	3
67	147	51	159	3	0
170	46	66	70	5	2
170	46	70	66	5	1
66	170	46	70	3	5
66	170	70	46	2	5
170	70	46	66	2	5
70	170	46	66	5	2
7	175	123	101	5	1
7	175	101	123	4	5
123	7	175	101	4	5
123	7	101	175	5	2
7	101	175	123	5	2
101	7	175	123	5	4
51	159	67	38	3	6
51	159	38	67	2	6
67	51	159	38	5	6
67	51	38	159	4	6
51	38	159	67	6	4
38	66	159	67	6	1
101	170	175	70	1	3
149	70	170	101	2	3
101	170	175	149	0	3
149	175	70	101	2	3
170	70	175	149	3	2
70	101	170	175	3	0
170	149	70	101	1	3
101	175	149	170	3	0
70	149	101	175	3	2
175	170	149	70	3	1
175	101	170	70	2	3
70	170	101	149	3	2
149	101	170	175	3	1
175	70	101	149	3	1
149	170	70	175	2	3
66	147	123	7	3	2
46	7	147	66	3	0
66	147	123	46	2	3
46	123	7	66	3	1
147	7	123	46	1	3
7	66	147	123	3	1
147	46	7	66	3	0
66	123	46	147	1	3
7	46	66	123	1	3
123	147	46	7	0	3
123	66	147	7	0	3
7	147	66	46	1	3
46	66	147	123	3	1
123	7	66	46	3	1
46	147	7	123	2	3
61	139	78	66	4	1
61	139	66	78	4	2
78	61	139	66	4	3
78	61	66	139	4	2
61	66	139	78	4	3
66	61	139	78	3	4
47	101	53	185	4	3
47	101	185	53	1	4
53	47	101	185	3	4
53	47	185	101	1	4
47	185	101	53	4	3
185	47	101	53	0	4
81		175		0	3
109		9		3	0
4		182		3	1
175		109		3	0
9		4		0	3
182		81		1	3
81		109		1	3
9		182		0	3
175		4		3	1
81		9		3	0
109		4		3	0
175		182		3	1
81		4		3	1
175		9		3	0
109		182		3	2
139	101	61	185	3	4
139	101	185	61	4	2
61	139	101	185	4	2
61	139	185	101	3	4
139	185	101	61	4	2
185	139	101	61	4	3
109	9	4	81	0	3
182	81	9	109	3	1
109	9	4	182	3	0
182	4	81	109	2	3
9	81	4	182	2	3
81	109	9	4	3	0
9	182	81	109	1	3
109	4	182	9	3	1
81	182	109	4	3	1
4	9	182	81	1	3
4	109	9	81	2	3
81	9	109	182	3	2
182	109	9	4	1	3
4	81	109	182	3	0
182	9	81	4	0	3
53	175	66	47	3	2
78	47	175	53	3	0
53	175	66	78	3	1
78	66	47	53	0	3
175	47	66	78	2	3
47	53	175	66	3	1
175	78	47	53	3	1
53	66	78	175	2	3
47	78	53	66	3	2
66	175	78	47	2	3
66	53	175	47	1	2
47	175	53	78	3	0
78	53	175	66	3	2
66	47	53	78	3	1
78	175	47	66	3	0
4	9	182		5	2
182	4	9		5	0
9	182	4		5	2
69	92	159	174	3	6
69	92	174	159	5	6
159	69	92	174	6	4
159	69	174	92	6	5
69	174	92	159	6	3
174	69	92	159	6	4
46	47	78	25	3	4
46	47	25	78	3	4
78	46	47	25	4	2
78	46	25	47	4	2
46	25	47	78	4	2
25	46	47	78	4	3
139	53	176	99	4	1
139	53	99	176	4	1
176	139	53	99	4	0
176	139	99	53	4	3
139	99	53	176	4	2
99	139	53	176	4	2
78	47	139	46	4	1
78	47	46	139	3	4
139	78	47	46	4	1
139	78	46	47	4	1
78	46	47	139	3	4
46	78	47	139	4	2
19	151	163	110	2	3
191	110	151	19	3	2
19	151	163	191	3	2
191	163	110	19	3	2
151	110	163	191	0	3
110	19	151	163	2	3
151	191	110	19	1	3
19	163	191	151	3	1
110	191	19	163	3	1
