P1T1	P2T1	P1T2	P2T2	Score1	Score2
163		123		9	5
151		25		8	12
110		149		12	6
4		19		4	5
159		4		1	4
123		53		6	1
54		78		18	16
170		47		17	11
176		176		4	3
151		174		5	13
154		25		10	8
172		66		10	5
66		159		8	6
182		146		7	11
159		101		7	19
174		66		10	7
123		4		13	7
114		19		4	7
114		147		5	6
163		4		18	16
46		69		18	10
182		149		6	14
170		163		8	6
109		69		13	9
47		70		16	18
70		163		7	5
170		99		12	5
28		46		6	13
92		170		8	15
61		92		19	12
159		4		5	9
123		176		16	5
114		137		7	9
54		139		11	9
25		4		3	4
67		99		11	8
25		172		15	6
176		175		5	9
101		174		14	12
174		25		1	7
147		92		7	5
81		114		6	1
159		66		12	16
174		159		8	12
70		147		5	1
67		99		7	8
25		53		20	16
81		127		16	12
191		66		8	4
92		38		0	4
99		38		2	5
61		147		8	1
61		101		3	1
163		25		17	16
25		53		7	4
149		9		7	3
174		182		3	9
47		99		14	8
123		19		7	3
191		147		11	3
19		69		4	13
46		46		17	9
70		69		20	17
139		174		3	1
70		53		1	5
137		172		10	17
146		149		12	20
81		4		20	9
25		114		2	4
46		25		13	7
47		114		8	10
101		109		8	13
163		123		5	0
127		9		4	1
149		109		18	17
70		123		18	12
99		109		14	10
185		25		8	5
28		109		8	17
19		47		11	8
109		19		20	16
147		175		15	10
174		7		3	7
139		19		16	11
28		185		1	3
78		92		3	2
46		70		9	20
140		4		7	6
69		159		6	3
127		67		9	14
137		140		10	4
25		47		20	18
69		175		14	19
19		46		15	16
51		159		15	19
127		123		5	9
53		4		4	5
191		151		10	8
92		110		3	8
170		114		6	8
25		151		6	9
51		137		12	16
70		185		19	18
25		81		14	18
149		174		11	12
163		123		4	2
46		151		17	8
127		151		8	6
185		159		12	10
151		38		2	9
78		170		19	13
170		163		5	7
176		99		12	10
159		147		12	18
51		110		5	18
151		81		8	19
81		147		14	13
78		9		11	5
54		182		4	3
175		182		8	4
70		9		3	1
139		19		5	0
38		127		17	8
92		159		3	2
109		109		10	17
99		70		5	14
191		123		4	3
70		139		3	5
114		137		13	5
149		25		10	18
151		25		12	11
46		146		17	10
67		149		11	17
46		146		5	3
114		175		8	15
159		28		19	15
191		140		13	3
4		53		10	4
123		154		14	15
191		7		7	12
78		61		4	6
159		4		11	19
140		163		18	13
25		175		2	4
151		176		8	9
38		47		11	16
110		4		2	3
46		61		14	10
109		7		16	17
191		38		8	12
114		53		11	12
182		146		3	10
9		70		0	7
28		69		10	14
47		109		9	7
66		149		7	4
139		46		12	8
61		101		13	12
159		92		5	1
25		174		11	17
7		123		3	2
163		172		17	19
51		46		3	16
101		139		5	10
185		174		14	16
101		4		13	9
123		146		6	11
185		147		6	3
182		182		3	0
78		147		15	11
163		67		16	7
78		140		11	10
127		174		12	14
146		92		3	0
